id,date,store_nbr,item_nbr,unit_sales,onpromotion
101688779,2017-01-01,25,99197,1.0,False
101688780,2017-01-01,25,103665,7.0,False
101688781,2017-01-01,25,105574,1.0,False
101688782,2017-01-01,25,105857,4.0,False
101688783,2017-01-01,25,106716,2.0,False
101688784,2017-01-01,25,108698,2.0,False
101688785,2017-01-01,25,108786,1.0,False
101688786,2017-01-01,25,108797,1.0,False
101688787,2017-01-01,25,108862,1.0,False
101688788,2017-01-01,25,108952,2.0,False
101688789,2017-01-01,25,114790,2.0,False
101688790,2017-01-01,25,114800,6.0,False
101688791,2017-01-01,25,115267,2.0,False
101688792,2017-01-01,25,115693,1.0,True
101688793,2017-01-01,25,115720,6.0,False
101688794,2017-01-01,25,115850,1.0,False
101688795,2017-01-01,25,115891,12.0,False
101688796,2017-01-01,25,115892,3.0,False
101688797,2017-01-01,25,115893,3.0,False
101688798,2017-01-01,25,115894,7.0,False
101688799,2017-01-01,25,119026,1.0,False
101688800,2017-01-01,25,119624,3.0,False
101688801,2017-01-01,25,121964,1.0,False
101688802,2017-01-01,25,122095,1.0,True
101688803,2017-01-01,25,123347,8.0,False
101688804,2017-01-01,25,123927,1.0,False
101688805,2017-01-01,25,127547,3.0,False
101688806,2017-01-01,25,129635,7.0,True
101688807,2017-01-01,25,153078,1.0,False
101688808,2017-01-01,25,153239,5.0,False
101688809,2017-01-01,25,153398,2.0,False
101688810,2017-01-01,25,155621,1.0,False
101688811,2017-01-01,25,158680,1.0,False
101688812,2017-01-01,25,158788,1.0,False
101688813,2017-01-01,25,158842,14.0,False
101688814,2017-01-01,25,162066,2.0,False
101688815,2017-01-01,25,164088,3.0,False
101688816,2017-01-01,25,164647,1.0,False
101688817,2017-01-01,25,165550,2.0,False
101688818,2017-01-01,25,165553,2.0,False
101688819,2017-01-01,25,165693,6.0,True
101688820,2017-01-01,25,165704,24.0,True
101688821,2017-01-01,25,165705,5.0,False
101688822,2017-01-01,25,165718,1.0,False
101688823,2017-01-01,25,165727,1.0,False
101688824,2017-01-01,25,165988,1.0,False
101688825,2017-01-01,25,168930,1.0,False
101688826,2017-01-01,25,168989,4.0,False
101688827,2017-01-01,25,170791,8.0,False
101688828,2017-01-01,25,172343,2.0,False
101688829,2017-01-01,25,173113,2.0,False
101688830,2017-01-01,25,177395,4.0,False
101688831,2017-01-01,25,179274,2.0,False
101688832,2017-01-01,25,179615,2.0,False
101688833,2017-01-01,25,205209,4.737,False
101688834,2017-01-01,25,205387,2.0,True
101688835,2017-01-01,25,207857,3.0,False
101688836,2017-01-01,25,208384,8.0,False
101688837,2017-01-01,25,208386,3.0,False
101688838,2017-01-01,25,208426,1.0,False
101688839,2017-01-01,25,208498,1.0,False
101688840,2017-01-01,25,208514,1.0,False
101688841,2017-01-01,25,208539,0.8640000000000001,False
101688842,2017-01-01,25,208659,5.0,False
101688843,2017-01-01,25,209085,2.0,False
101688844,2017-01-01,25,210520,1.0,False
101688845,2017-01-01,25,211205,4.0,False
101688846,2017-01-01,25,213066,4.0,False
101688847,2017-01-01,25,213652,1.0,False
101688848,2017-01-01,25,213788,2.0,False
101688849,2017-01-01,25,214862,1.0,False
101688850,2017-01-01,25,215303,1.0,True
101688851,2017-01-01,25,215331,8.0,False
101688852,2017-01-01,25,215352,8.0,False
101688853,2017-01-01,25,215356,11.0,False
101688854,2017-01-01,25,215370,3.0,False
101688855,2017-01-01,25,215896,1.0,False
101688856,2017-01-01,25,218726,1.0,False
101688857,2017-01-01,25,219147,1.0,False
101688858,2017-01-01,25,219150,6.0,False
101688859,2017-01-01,25,220435,8.0,False
101688860,2017-01-01,25,220613,4.0,False
101688861,2017-01-01,25,221506,1.0,False
101688862,2017-01-01,25,222879,8.0,False
101688863,2017-01-01,25,222975,3.0,False
101688864,2017-01-01,25,223136,54.0,False
101688865,2017-01-01,25,223434,1.0,False
101688866,2017-01-01,25,223463,1.0,False
101688867,2017-01-01,25,224081,3.0,False
101688868,2017-01-01,25,226126,1.0,False
101688869,2017-01-01,25,227111,1.0,False
101688870,2017-01-01,25,229368,1.0,False
101688871,2017-01-01,25,252972,2.0,False
101688872,2017-01-01,25,253103,3.0,False
101688873,2017-01-01,25,255161,2.0,False
101688874,2017-01-01,25,257847,238.0,False
101688875,2017-01-01,25,257848,36.0,False
101688876,2017-01-01,25,258268,5.0,False
101688877,2017-01-01,25,258376,1.0,False
101688878,2017-01-01,25,258396,10.0,False
101688879,2017-01-01,25,260893,6.0,False
101688880,2017-01-01,25,261052,8.0,False
101688881,2017-01-01,25,261053,4.0,False
101688882,2017-01-01,25,261700,4.0,False
101688883,2017-01-01,25,262358,2.0,False
101688884,2017-01-01,25,264299,1.0,False
101688885,2017-01-01,25,264452,3.0,False
101688886,2017-01-01,25,264752,1.0,False
101688887,2017-01-01,25,264753,1.0,False
101688888,2017-01-01,25,265237,3.0,False
101688889,2017-01-01,25,265254,4.0,False
101688890,2017-01-01,25,265257,5.0,False
101688891,2017-01-01,25,265258,7.0,False
101688892,2017-01-01,25,265266,3.0,False
101688893,2017-01-01,25,265279,2.0,False
101688894,2017-01-01,25,265382,1.0,False
101688895,2017-01-01,25,265559,12.0,False
101688896,2017-01-01,25,265700,1.0,False
101688897,2017-01-01,25,268440,2.0,False
101688898,2017-01-01,25,268443,1.0,False
101688899,2017-01-01,25,268662,1.0,False
101688900,2017-01-01,25,268664,5.0,False
101688901,2017-01-01,25,268676,3.0,False
101688902,2017-01-01,25,268834,1.0,False
101688903,2017-01-01,25,269029,4.0,False
101688904,2017-01-01,25,269084,6.0,False
101688905,2017-01-01,25,270522,1.0,False
101688906,2017-01-01,25,273528,10.0,False
101688907,2017-01-01,25,279494,1.0,False
101688908,2017-01-01,25,302952,5.0,False
101688909,2017-01-01,25,302995,2.0,False
101688910,2017-01-01,25,302997,1.0,False
101688911,2017-01-01,25,305079,1.0,False
101688912,2017-01-01,25,305080,9.0,False
101688913,2017-01-01,25,305229,10.0,False
101688914,2017-01-01,25,305345,1.0,False
101688915,2017-01-01,25,308726,1.0,False
101688916,2017-01-01,25,308924,5.0,False
101688917,2017-01-01,25,310644,51.0,False
101688918,2017-01-01,25,310647,3.0,False
101688919,2017-01-01,25,311994,27.573,False
101688920,2017-01-01,25,313641,1.0,False
101688921,2017-01-01,25,314384,12.0,False
101688922,2017-01-01,25,314570,1.0,False
101688923,2017-01-01,25,314879,1.0,False
101688924,2017-01-01,25,314880,1.0,False
101688925,2017-01-01,25,314881,1.0,False
101688926,2017-01-01,25,315176,17.0,False
101688927,2017-01-01,25,315179,4.0,False
101688928,2017-01-01,25,315220,4.0,False
101688929,2017-01-01,25,315221,1.0,False
101688930,2017-01-01,25,315322,1.0,False
101688931,2017-01-01,25,315460,30.0,True
101688932,2017-01-01,25,315463,2.0,False
101688933,2017-01-01,25,315474,5.0,False
101688934,2017-01-01,25,315753,1.0,False
101688935,2017-01-01,25,317285,4.0,False
101688936,2017-01-01,25,318935,1.0,True
101688937,2017-01-01,25,319093,4.0,True
101688938,2017-01-01,25,319272,9.0,False
101688939,2017-01-01,25,320682,4.0,True
101688940,2017-01-01,25,322094,1.0,False
101688941,2017-01-01,25,322095,1.0,False
101688942,2017-01-01,25,323013,4.0,False
101688943,2017-01-01,25,323921,1.0,False
101688944,2017-01-01,25,324206,1.0,False
101688945,2017-01-01,25,326951,4.0,False
101688946,2017-01-01,25,329362,1.0,False
101688947,2017-01-01,25,329397,3.0,False
101688948,2017-01-01,25,354922,1.0,False
101688949,2017-01-01,25,355090,4.0,True
101688950,2017-01-01,25,355091,5.0,False
101688951,2017-01-01,25,358096,2.0,False
101688952,2017-01-01,25,358232,4.0,False
101688953,2017-01-01,25,358264,7.0,False
101688954,2017-01-01,25,358272,5.0,False
101688955,2017-01-01,25,358515,1.0,False
101688956,2017-01-01,25,358561,2.0,False
101688957,2017-01-01,25,358564,1.0,False
101688958,2017-01-01,25,360314,7.0,False
101688959,2017-01-01,25,360703,3.0,False
101688960,2017-01-01,25,360704,1.0,False
101688961,2017-01-01,25,362548,1.0,False
101688962,2017-01-01,25,363868,8.0,False
101688963,2017-01-01,25,363895,4.0,True
101688964,2017-01-01,25,364413,3.0,False
101688965,2017-01-01,25,364606,23.0,False
101688966,2017-01-01,25,364724,2.0,True
101688967,2017-01-01,25,364738,14.0,False
101688968,2017-01-01,25,364829,3.0,False
101688969,2017-01-01,25,364834,2.0,False
101688970,2017-01-01,25,364865,10.0,False
101688971,2017-01-01,25,365139,1.0,False
101688972,2017-01-01,25,368140,5.0,False
101688973,2017-01-01,25,368260,7.0,False
101688974,2017-01-01,25,368424,4.0,False
101688975,2017-01-01,25,368624,16.0,False
101688976,2017-01-01,25,368628,74.0,False
101688977,2017-01-01,25,370042,1.0,False
101688978,2017-01-01,25,371434,1.0,False
101688979,2017-01-01,25,371438,2.0,False
101688980,2017-01-01,25,372369,2.0,False
101688981,2017-01-01,25,372924,1.0,False
101688982,2017-01-01,25,372937,7.0,False
101688983,2017-01-01,25,373152,5.0,False
101688984,2017-01-01,25,374464,11.0,False
101688985,2017-01-01,25,376194,1.0,False
101688986,2017-01-01,25,376483,4.0,True
101688987,2017-01-01,25,377978,1.0,False
101688988,2017-01-01,25,378332,5.0,False
101688989,2017-01-01,25,378685,1.0,True
101688990,2017-01-01,25,401817,3.0,False
101688991,2017-01-01,25,402174,4.0,False
101688992,2017-01-01,25,405304,1.0,False
101688993,2017-01-01,25,406965,1.0,False
101688994,2017-01-01,25,407499,5.0,False
101688995,2017-01-01,25,407769,2.0,False
101688996,2017-01-01,25,409738,4.0,False
101688997,2017-01-01,25,409739,1.0,False
101688998,2017-01-01,25,409904,1.0,False
101688999,2017-01-01,25,410257,3.0,False
101689000,2017-01-01,25,410866,13.0,False
101689001,2017-01-01,25,413986,3.0,False
101689002,2017-01-01,25,413987,1.0,False
101689003,2017-01-01,25,414353,1.0,False
101689004,2017-01-01,25,414425,2.0,False
101689005,2017-01-01,25,414426,5.0,False
101689006,2017-01-01,25,414454,6.0,False
101689007,2017-01-01,25,414455,1.0,False
101689008,2017-01-01,25,414478,3.0,False
101689009,2017-01-01,25,414621,28.0,True
101689010,2017-01-01,25,414623,9.0,True
101689011,2017-01-01,25,414750,4.0,False
101689012,2017-01-01,25,414752,9.0,False
101689013,2017-01-01,25,414888,2.0,False
101689014,2017-01-01,25,417765,9.0,False
101689015,2017-01-01,25,418024,5.0,False
101689016,2017-01-01,25,418026,2.0,True
101689017,2017-01-01,25,418235,154.0,False
101689018,2017-01-01,25,418238,72.0,False
101689019,2017-01-01,25,419729,1.0,False
101689020,2017-01-01,25,422452,1.0,False
101689021,2017-01-01,25,428054,4.0,False
101689022,2017-01-01,25,452212,23.0,False
101689023,2017-01-01,25,454326,1.0,False
101689024,2017-01-01,25,454426,2.0,False
101689025,2017-01-01,25,454589,1.0,False
101689026,2017-01-01,25,456870,3.0,True
101689027,2017-01-01,25,456875,1.0,False
101689028,2017-01-01,25,457424,8.0,False
